,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
0,javascript,1576162,Stack Overflow,12.974542,-14.037723999999999,Computer Science,blue,0,2.0,1.0
1,java,1385434,Stack Overflow,12.207986,-16.103673999999998,Computer Science,blue,1,1.9977777777777779,0.9982222222222223
3,php,1176862,Stack Overflow,12.489099000000001,-13.210386999999999,Computer Science,blue,2,1.9955555555555555,0.9964444444444445
4,android,1081820,Stack Overflow,14.028229000000001,-18.133636,Computer Science,blue,3,1.9933333333333332,0.9946666666666668
5,python,914108,Stack Overflow,11.910357000000001,-15.559335,Computer Science,blue,4,1.991111111111111,0.9928888888888889
6,jquery,900801,Stack Overflow,5.7572694,-7.601592,Computer Science,blue,5,1.988888888888889,0.991111111111111
7,html,733157,Stack Overflow,14.994214999999999,-14.171798999999998,Computer Science,blue,6,1.9866666666666668,0.9893333333333334
8,c++,559744,Stack Overflow,11.765659,-16.027788,Computer Science,blue,7,1.9844444444444445,0.9875555555555557
9,ios,554179,Stack Overflow,10.080608999999999,-5.092982,Computer Science,blue,8,1.982222222222222,0.9857777777777779
10,css,524698,Stack Overflow,4.5970597,-10.443596000000001,Computer Science,blue,9,1.98,0.984
11,mysql,509252,Stack Overflow,13.636934,-13.501206,Computer Science,blue,10,1.9777777777777779,0.9822222222222223
12,sql,430279,Stack Overflow,13.61948,-14.733726999999998,Computer Science,blue,11,1.9755555555555555,0.9804444444444445
13,asp.net,330636,Stack Overflow,11.285098,-12.815408,Computer Science,blue,12,1.9733333333333334,0.9786666666666668
15,objective-c,282996,Stack Overflow,2.3583436,-0.93946284,Computer Science,blue,13,1.971111111111111,0.9768888888888889
16,c,272960,Stack Overflow,2.882693,-8.736118,Computer Science,blue,14,1.968888888888889,0.975111111111111
17,.net,265332,Stack Overflow,11.35419,-14.082439,Computer Science,blue,15,1.9666666666666668,0.9733333333333334
18,arrays,257554,Stack Overflow,0.87427384,-16.273325,Computer Science,blue,16,1.9644444444444444,0.9715555555555557
20,json,228393,Stack Overflow,5.942623,-6.644985,Computer Science,blue,17,1.962222222222222,0.9697777777777778
21,r,227632,Stack Overflow,-5.377423,-18.466858,Computer Science,blue,18,1.96,0.968
23,iphone,218782,Stack Overflow,14.68326,-18.679134,Computer Science,blue,19,1.9577777777777778,0.9662222222222223
24,node.js,216425,Stack Overflow,-0.5383411,1.0281965,Computer Science,blue,20,1.9555555555555557,0.9644444444444444
25,ruby,192892,Stack Overflow,1.7731575000000002,-7.062653,Computer Science,blue,21,1.9533333333333334,0.9626666666666668
26,swift,184628,Stack Overflow,-13.069502,16.199972,Computer Science,blue,22,1.951111111111111,0.9608888888888889
27,regex,184507,Stack Overflow,-2.2865255,-1.3496628000000002,Computer Science,blue,23,1.948888888888889,0.9591111111111112
28,ajax,184181,Stack Overflow,12.093761,-12.610231,Computer Science,blue,24,1.9466666666666668,0.9573333333333334
29,xml,170246,Stack Overflow,14.53972,-14.913015,Computer Science,blue,25,1.9444444444444444,0.9555555555555555
31,django,165019,Stack Overflow,-0.5045733,-3.1918812,Computer Science,blue,26,1.942222222222222,0.9537777777777778
32,linux,161297,Stack Overflow,13.642888000000001,-17.747812,Computer Science,blue,27,1.94,0.9520000000000002
33,database,141042,Stack Overflow,17.433035,-12.198421000000002,Computer Science,blue,28,1.9377777777777778,0.9502222222222223
34,excel,141009,Stack Overflow,10.201503,-15.577651999999999,Computer Science,blue,29,1.9355555555555557,0.9484444444444444
35,wpf,138922,Stack Overflow,-6.3631782999999995,3.821771,Computer Science,blue,30,1.9333333333333333,0.9466666666666668
36,wordpress,129424,Stack Overflow,7.9027114,-8.567069,Computer Science,blue,31,1.931111111111111,0.9448888888888891
37,spring,128596,Stack Overflow,11.031475,0.7584303000000001,Computer Science,blue,32,1.9288888888888889,0.9431111111111112
38,string,124529,Stack Overflow,11.467572,-0.59463894,Computer Science,blue,33,1.9266666666666667,0.9413333333333334
39,xcode,122461,Stack Overflow,-0.50629973,1.6030853,Computer Science,blue,34,1.9244444444444444,0.9395555555555557
40,windows,118498,Stack Overflow,7.761151299999999,-10.562351,Computer Science,blue,35,1.9222222222222223,0.9377777777777778
41,vb.net,116596,Stack Overflow,3.1870482000000004,-1.9935205000000003,Computer Science,blue,36,1.92,0.9360000000000002
42,eclipse,111693,Stack Overflow,2.7557897999999996,-5.7377769999999995,Computer Science,blue,37,1.9177777777777778,0.9342222222222223
43,html5,111334,Stack Overflow,11.9940815,-11.867883,Computer Science,blue,38,1.9155555555555557,0.9324444444444444
44,multithreading,106158,Stack Overflow,8.217997,-3.8085123999999997,Computer Science,blue,39,1.9133333333333333,0.9306666666666668
45,angular,100527,Stack Overflow,12.502118,1.098573,Computer Science,blue,40,1.911111111111111,0.9288888888888889
46,bash,96709,Stack Overflow,1.6616243999999998,-3.5621967000000003,Computer Science,blue,41,1.9088888888888889,0.9271111111111112
47,git,96537,Stack Overflow,9.767487,-5.5910816,Computer Science,blue,42,1.9066666666666667,0.9253333333333333
48,mongodb,95823,Stack Overflow,6.586688499999999,-5.9143453,Computer Science,blue,43,1.9044444444444446,0.9235555555555557
49,vba,95624,Stack Overflow,10.635597,-14.9034395,Computer Science,blue,44,1.9022222222222223,0.9217777777777778
50,oracle,94711,Stack Overflow,10.473116000000001,-11.239127,Computer Science,blue,45,1.9,0.9199999999999999
53,forms,87790,Stack Overflow,6.970907700000001,-12.785571000000001,Computer Science,blue,46,1.8977777777777778,0.9182222222222223
54,image,86564,Stack Overflow,1.0603566999999998,-17.576735,Computer Science,blue,47,1.8955555555555557,0.9164444444444446
55,macos,84079,Stack Overflow,-0.9128721,-1.7654870999999999,Computer Science,blue,48,1.8933333333333333,0.9146666666666667
56,algorithm,83030,Stack Overflow,15.860329,-6.564424499999999,Computer Science,blue,49,1.891111111111111,0.9128888888888889
58,facebook,81831,Stack Overflow,17.904524,-18.045725,Computer Science,blue,50,1.8888888888888888,0.9111111111111112
59,postgresql,81640,Stack Overflow,9.596983999999999,-10.425803,Computer Science,blue,51,1.8866666666666667,0.9093333333333335
61,winforms,78825,Stack Overflow,1.7580115,-0.39074793,Computer Science,blue,52,1.8844444444444446,0.9075555555555557
62,apache,78819,Stack Overflow,13.722245999999998,-11.016395,Computer Science,blue,53,1.8822222222222222,0.9057777777777778
63,matlab,77620,Stack Overflow,11.223588000000001,-16.775198,Computer Science,blue,54,1.88,0.9040000000000001
65,scala,76630,Stack Overflow,4.9658446,-4.5551114,Computer Science,blue,55,1.8777777777777778,0.9022222222222223
66,performance,75567,Stack Overflow,13.535556,16.291957999999997,Computer Science,blue,56,1.8755555555555556,0.9004444444444446
68,excel-vba,74273,Stack Overflow,-1.377037,2.3969270000000003,Computer Science,blue,57,1.8733333333333333,0.8986666666666667
69,list,73745,Stack Overflow,9.732801,-7.7740197,Computer Science,blue,58,1.871111111111111,0.8968888888888888
71,css3,71831,Stack Overflow,5.2942643,-5.5928273,Computer Science,blue,59,1.8688888888888888,0.8951111111111112
72,hibernate,69873,Stack Overflow,4.363326,-5.667679,Computer Science,blue,60,1.8666666666666667,0.8933333333333333
73,swing,69635,Stack Overflow,11.672494,1.4073645000000001,Computer Science,blue,61,1.8644444444444446,0.8915555555555557
74,linq,68578,Stack Overflow,7.9711046,-6.954811599999999,Computer Science,blue,62,1.8622222222222222,0.8897777777777778
75,qt,64321,Stack Overflow,8.842711999999999,2.791236,Computer Science,blue,63,1.8599999999999999,0.8880000000000001
76,function,64164,Stack Overflow,14.005589,-2.5550938,Computer Science,blue,64,1.8577777777777778,0.8862222222222222
77,pandas,63644,Stack Overflow,3.7055879000000003,-4.837451000000001,Computer Science,blue,65,1.8555555555555556,0.8844444444444444
78,shell,62330,Stack Overflow,3.8841263999999995,-6.814392999999999,Computer Science,blue,66,1.8533333333333335,0.8826666666666667
79,rest,61935,Stack Overflow,10.087017999999999,1.3364076999999999,Computer Science,blue,67,1.8511111111111112,0.880888888888889
81,sqlite,60133,Stack Overflow,6.2911586999999995,-6.3690057,Computer Science,blue,68,1.8488888888888888,0.8791111111111112
82,maven,59621,Stack Overflow,-8.0891,8.296108,Computer Science,blue,69,1.8466666666666667,0.8773333333333333
83,api,59348,Stack Overflow,13.026278,-12.398850999999999,Computer Science,blue,70,1.8444444444444446,0.8755555555555556
84,perl,58939,Stack Overflow,9.924589,-13.007864,Computer Science,blue,71,1.8422222222222222,0.8737777777777778
86,web-services,57875,Stack Overflow,8.951526,-10.014623,Computer Science,blue,72,1.8399999999999999,0.8720000000000001
87,file,57654,Stack Overflow,16.558483,-12.993186,Computer Science,blue,73,1.8377777777777777,0.8702222222222222
88,google-maps,56228,Stack Overflow,-1.2271478,1.9416687,Computer Science,blue,74,1.8355555555555556,0.8684444444444446
91,cordova,55829,Stack Overflow,-2.238652,7.782345299999999,Computer Science,blue,75,1.8333333333333335,0.8666666666666667
92,symfony,55777,Stack Overflow,3.6963269999999997,-3.2427201,Computer Science,blue,76,1.8311111111111111,0.8648888888888888
96,loops,53424,Stack Overflow,5.474834400000001,0.66190827,Computer Science,blue,77,1.8288888888888888,0.8631111111111112
97,azure,53378,Stack Overflow,2.8355997000000004,-3.723622,Computer Science,blue,78,1.8266666666666667,0.8613333333333333
98,class,53131,Stack Overflow,4.1319265,3.624789,Computer Science,blue,79,1.8244444444444445,0.8595555555555556
99,csv,53062,Stack Overflow,10.043388,-8.711383999999999,Computer Science,blue,80,1.8222222222222222,0.8577777777777778
100,validation,52353,Stack Overflow,-5.5599284,-2.1936982000000005,Computer Science,blue,81,1.8199999999999998,0.8560000000000001
102,sockets,51618,Stack Overflow,4.5306845000000004,-7.0608397,Computer Science,blue,82,1.8177777777777777,0.8542222222222222
104,sorting,50425,Stack Overflow,6.847712,0.12716918,Computer Science,blue,83,1.8155555555555556,0.8524444444444446
107,selenium,49427,Stack Overflow,1.0706129999999998,9.159623,Computer Science,blue,84,1.8133333333333335,0.8506666666666667
109,typescript,48869,Stack Overflow,0.95627266,2.8514445,Computer Science,blue,85,1.8111111111111111,0.8488888888888888
