,tag,count,class,tsne_0,tsne_1,tsne_2,cName,colour_class,rank,size_objs,alpha_val
0,javascript,1576162,Stack Overflow,79.38624,-130.27421999999999,9.225571,Computer Science,#2c6fbb,0,1.2,1.0
1,java,1385434,Stack Overflow,68.57414,78.41056999999999,92.27633,Computer Science,#2c6fbb,1,1.1977777777777778,0.9982222222222223
3,php,1176862,Stack Overflow,41.174890000000005,112.87783999999999,4.878161,Computer Science,#2c6fbb,2,1.1955555555555555,0.9964444444444445
4,android,1081820,Stack Overflow,34.977,132.27823999999998,-26.439790000000002,Computer Science,#2c6fbb,3,1.1933333333333334,0.9946666666666668
5,python,914108,Stack Overflow,-22.606512,111.90288999999999,72.31189,Computer Science,#2c6fbb,4,1.1911111111111112,0.9928888888888889
6,jquery,900801,Stack Overflow,6.559985,-104.52797,47.03549,Computer Science,#2c6fbb,5,1.1888888888888889,0.991111111111111
7,html,733157,Stack Overflow,-26.025534,36.587146999999995,-153.99995,Computer Science,#2c6fbb,6,1.1866666666666668,0.9893333333333334
8,c++,559744,Stack Overflow,-42.987324,-107.991646,-65.47461,Computer Science,#2c6fbb,7,1.1844444444444444,0.9875555555555557
9,ios,554179,Stack Overflow,18.171791,81.33273,-113.02833999999999,Computer Science,#2c6fbb,8,1.1822222222222223,0.9857777777777779
10,css,524698,Stack Overflow,-77.27453,47.793663,30.018019,Computer Science,#2c6fbb,9,1.18,0.984
11,mysql,509252,Stack Overflow,16.178818,107.87426,25.143381,Computer Science,#2c6fbb,10,1.1777777777777778,0.9822222222222223
12,sql,430279,Stack Overflow,40.605785,120.26881399999999,37.95579,Computer Science,#2c6fbb,11,1.1755555555555555,0.9804444444444445
13,asp.net,330636,Stack Overflow,47.977493,46.510433,100.17831,Computer Science,#2c6fbb,12,1.1733333333333333,0.9786666666666668
15,objective-c,282996,Stack Overflow,30.378433,-80.31959,32.139275,Computer Science,#2c6fbb,13,1.1711111111111112,0.9768888888888889
16,c,272960,Stack Overflow,-17.815,-53.693886,76.597626,Computer Science,#2c6fbb,14,1.1688888888888889,0.975111111111111
17,.net,265332,Stack Overflow,9.144208,111.33939,-11.050606,Computer Science,#2c6fbb,15,1.1666666666666667,0.9733333333333334
18,arrays,257554,Stack Overflow,10.477625999999999,86.32435600000001,126.36551999999999,Computer Science,#2c6fbb,16,1.1644444444444444,0.9715555555555557
20,json,228393,Stack Overflow,-43.599583,93.42348,11.999964,Computer Science,#2c6fbb,17,1.1622222222222223,0.9697777777777778
21,r,227632,Stack Overflow,-81.94723,-74.82652,50.799313,Computer Science,#2c6fbb,18,1.16,0.968
23,iphone,218782,Stack Overflow,104.38627,102.59673000000001,58.041332,Computer Science,#2c6fbb,19,1.1577777777777778,0.9662222222222223
