,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
0,cognitive-psychology,925,Psychology & Neuroscience,-3.2740139999999998,0.8078773,Psychology & Neuroscience,green,0,2.0,1.0
1,social-psychology,581,Psychology & Neuroscience,-2.686577,3.7879071000000004,Psychology & Neuroscience,green,1,1.9966216216216215,0.9972972972972973
2,neuroscience,534,Psychology & Neuroscience,6.3476334,-11.356645,Psychology & Neuroscience,green,2,1.9932432432432432,0.9945945945945946
3,cognitive-neuroscience,350,Psychology & Neuroscience,-1.5047846,0.9762487,Psychology & Neuroscience,green,3,1.989864864864865,0.991891891891892
4,perception,347,Psychology & Neuroscience,-14.149606,9.128277,Psychology & Neuroscience,green,4,1.9864864864864864,0.9891891891891893
5,emotion,306,Psychology & Neuroscience,-11.14156,0.8573933000000001,Psychology & Neuroscience,green,5,1.9831081081081081,0.9864864864864866
6,learning,292,Psychology & Neuroscience,-15.468411999999999,1.4997578999999999,Psychology & Neuroscience,green,6,1.9797297297297298,0.9837837837837837
7,memory,278,Psychology & Neuroscience,-12.3585615,-6.0780087,Psychology & Neuroscience,green,7,1.9763513513513513,0.981081081081081
8,measurement,275,Psychology & Neuroscience,15.59467,-0.42425102,Psychology & Neuroscience,green,8,1.972972972972973,0.9783783783783784
10,personality,262,Psychology & Neuroscience,-2.7320497,-5.255473,Psychology & Neuroscience,green,9,1.9695945945945947,0.9756756756756757
12,terminology,218,Psychology & Neuroscience,5.3679643,5.002685,Psychology & Neuroscience,green,10,1.9662162162162162,0.972972972972973
13,methodology,217,Psychology & Neuroscience,1.0770701,-18.000429999999998,Psychology & Neuroscience,green,11,1.9628378378378377,0.9702702702702704
16,vision,199,Psychology & Neuroscience,-4.5916996,5.579396,Psychology & Neuroscience,green,12,1.9594594594594594,0.9675675675675677
17,intelligence,180,Psychology & Neuroscience,-1.9365305,9.0751,Psychology & Neuroscience,green,13,1.9560810810810811,0.964864864864865
19,motivation,160,Psychology & Neuroscience,-12.590908,2.726649,Psychology & Neuroscience,green,14,1.9527027027027026,0.9621621621621623
22,eeg,119,Psychology & Neuroscience,7.436928,-7.015975999999999,Psychology & Neuroscience,green,15,1.9493243243243243,0.9594594594594594
23,decision-making,116,Psychology & Neuroscience,-7.341869,0.97133315,Psychology & Neuroscience,green,16,1.945945945945946,0.9567567567567568
25,consciousness,113,Psychology & Neuroscience,-6.8023677,4.636303400000001,Psychology & Neuroscience,green,17,1.9425675675675675,0.9540540540540541
24,sleep,113,Psychology & Neuroscience,-3.2647676,-11.523128999999999,Psychology & Neuroscience,green,18,1.939189189189189,0.9513513513513514
26,clinical-psychology,112,Psychology & Neuroscience,-0.5097072,2.867893,Psychology & Neuroscience,green,19,1.935810810810811,0.9486486486486487
