,tag,count,class,tsne_0,tsne_1,cName,colour_class,rank,size_objs,alpha_val
0,javascript,1576162,Stack Overflow,4.2421393,11.123521,Computer Science,blue,0,1.2,1.0
1,java,1385434,Stack Overflow,5.7502059999999995,11.867204,Computer Science,blue,1,1.197326203208556,0.9978609625668451
3,php,1176862,Stack Overflow,4.7111114999999995,10.446323,Computer Science,blue,2,1.1946524064171122,0.99572192513369
4,android,1081820,Stack Overflow,6.774933,14.400501,Computer Science,blue,3,1.1919786096256684,0.9935828877005348
5,python,914108,Stack Overflow,5.8238373,11.668700999999999,Computer Science,blue,4,1.1893048128342245,0.9914438502673797
6,jquery,900801,Stack Overflow,-0.109996535,1.8163663,Computer Science,blue,5,1.1866310160427807,0.9893048128342246
7,html,733157,Stack Overflow,1.9028634999999998,11.970216,Computer Science,blue,6,1.183957219251337,0.9871657754010696
8,c++,559744,Stack Overflow,6.438870400000001,11.755684,Computer Science,blue,7,1.1812834224598932,0.9850267379679145
9,ios,554179,Stack Overflow,-4.667204,5.453545,Computer Science,blue,8,1.1786096256684493,0.9828877005347594
10,css,524698,Stack Overflow,-4.85693,3.6636903,Computer Science,blue,9,1.1759358288770054,0.9807486631016042
11,mysql,509252,Stack Overflow,2.9812257,10.102482,Computer Science,blue,10,1.1732620320855616,0.9786096256684491
12,sql,430279,Stack Overflow,3.7043574,11.215017,Computer Science,blue,11,1.1705882352941177,0.9764705882352942
13,asp.net,330636,Stack Overflow,4.636803,8.892619,Computer Science,blue,12,1.1679144385026738,0.9743315508021391
15,objective-c,282996,Stack Overflow,-1.5809782,-3.0875156,Computer Science,blue,13,1.16524064171123,0.9721925133689839
16,c,272960,Stack Overflow,8.062766,-4.3770094,Computer Science,blue,14,1.1625668449197861,0.9700534759358288
17,.net,265332,Stack Overflow,5.6362440000000005,10.222846,Computer Science,blue,15,1.1598930481283423,0.9679144385026737
18,arrays,257554,Stack Overflow,-4.348118299999999,8.716445,Computer Science,blue,16,1.1572192513368984,0.9657754010695188
20,json,228393,Stack Overflow,0.41797447,-0.18381820000000001,Computer Science,blue,17,1.1545454545454545,0.9636363636363636
21,r,227632,Stack Overflow,-9.137035000000001,4.5939125999999995,Computer Science,blue,18,1.1518716577540107,0.9614973262032085
23,iphone,218782,Stack Overflow,7.0593343,14.918001,Computer Science,blue,19,1.1491978609625668,0.9593582887700536
24,node.js,216425,Stack Overflow,-1.5366348,-5.3822865,Computer Science,blue,20,1.146524064171123,0.9572192513368984
25,ruby,192892,Stack Overflow,-5.4953523,-3.5703142,Computer Science,blue,21,1.143850267379679,0.9550802139037433
26,swift,184628,Stack Overflow,-3.4420172999999994,-0.97811955,Computer Science,blue,22,1.1411764705882352,0.9529411764705884
27,regex,184507,Stack Overflow,1.3486268999999997,-8.385433,Computer Science,blue,23,1.1385026737967914,0.9508021390374333
28,ajax,184181,Stack Overflow,4.825261,9.758132000000002,Computer Science,blue,24,1.1358288770053475,0.9486631016042781
29,xml,170246,Stack Overflow,2.4775107000000003,12.058216999999999,Computer Science,blue,25,1.1331550802139037,0.946524064171123
31,django,165019,Stack Overflow,-6.5110297,-4.5100455,Computer Science,blue,26,1.13048128342246,0.9443850267379681
