,tag,count,class,tsne_0,tsne_1,tsne_2,cName,colour_class,rank,size_objs,alpha_val
0,javascript,1576162,Stack Overflow,-125.678345,75.31151,-16.14199,Computer Science,blue,0,1.2,1.0
1,java,1385434,Stack Overflow,51.031403000000005,95.46771,-107.05446,Computer Science,blue,1,1.197326203208556,0.9978609625668451
3,php,1176862,Stack Overflow,-32.898185999999995,-157.27705,45.605335,Computer Science,blue,2,1.1946524064171122,0.99572192513369
4,android,1081820,Stack Overflow,-153.54942,14.931270000000001,31.380515999999997,Computer Science,blue,3,1.1919786096256684,0.9935828877005348
5,python,914108,Stack Overflow,30.970984,72.18034,-113.14368999999999,Computer Science,blue,4,1.1893048128342245,0.9914438502673797
6,jquery,900801,Stack Overflow,-57.000053,-106.77186599999999,12.125636,Computer Science,blue,5,1.1866310160427807,0.9893048128342246
7,html,733157,Stack Overflow,35.426722999999996,-164.87814,10.943280999999999,Computer Science,blue,6,1.183957219251337,0.9871657754010696
8,c++,559744,Stack Overflow,-31.597458000000003,-71.90191,134.63702,Computer Science,blue,7,1.1812834224598932,0.9850267379679145
9,ios,554179,Stack Overflow,54.476513,119.48295,71.5919,Computer Science,blue,8,1.1786096256684493,0.9828877005347594
10,css,524698,Stack Overflow,-80.5584,-15.903691,-145.28195,Computer Science,blue,9,1.1759358288770054,0.9807486631016042
11,mysql,509252,Stack Overflow,-123.58211000000001,85.3729,-48.056940000000004,Computer Science,blue,10,1.1732620320855616,0.9786096256684491
12,sql,430279,Stack Overflow,76.0845,124.722664,-49.901534999999996,Computer Science,blue,11,1.1705882352941177,0.9764705882352942
13,asp.net,330636,Stack Overflow,-65.65986,21.37186,226.73837000000003,Computer Science,blue,12,1.1679144385026738,0.9743315508021391
15,objective-c,282996,Stack Overflow,-71.75541,6.808216000000001,118.80565,Computer Science,blue,13,1.16524064171123,0.9721925133689839
16,c,272960,Stack Overflow,-23.170269,-63.141906999999996,-17.404020000000003,Computer Science,blue,14,1.1625668449197861,0.9700534759358288
17,.net,265332,Stack Overflow,71.528534,64.50079000000001,-102.28899399999999,Computer Science,blue,15,1.1598930481283423,0.9679144385026737
18,arrays,257554,Stack Overflow,-43.4412,70.41982,-58.17600600000001,Computer Science,blue,16,1.1572192513368984,0.9657754010695188
20,json,228393,Stack Overflow,43.612095000000004,-102.53094,65.051315,Computer Science,blue,17,1.1545454545454545,0.9636363636363636
21,r,227632,Stack Overflow,84.615234,-95.56509,116.28809,Computer Science,blue,18,1.1518716577540107,0.9614973262032085
23,iphone,218782,Stack Overflow,129.4107,35.825565000000005,-16.53539,Computer Science,blue,19,1.1491978609625668,0.9593582887700536
24,node.js,216425,Stack Overflow,10.01308,-77.69915999999999,6.2899723,Computer Science,blue,20,1.146524064171123,0.9572192513368984
25,ruby,192892,Stack Overflow,3.1010617999999996,99.17055500000001,127.02298,Computer Science,blue,21,1.143850267379679,0.9550802139037433
