,tag,count,class,tsne_0,tsne_1
0,javascript,1576162,Stack Overflow,12.974542,-14.037724
1,java,1385434,Stack Overflow,12.207986,-16.103674
3,php,1176862,Stack Overflow,12.489099,-13.210387
4,android,1081820,Stack Overflow,14.028229,-18.133636
5,python,914108,Stack Overflow,11.910357,-15.559335
6,jquery,900801,Stack Overflow,5.7572694,-7.601592
7,html,733157,Stack Overflow,14.994215,-14.171799
8,c++,559744,Stack Overflow,11.765659,-16.027788
9,ios,554179,Stack Overflow,10.080609,-5.092982
10,css,524698,Stack Overflow,4.5970597,-10.443596
11,mysql,509252,Stack Overflow,13.636934,-13.501206
12,sql,430279,Stack Overflow,13.61948,-14.733727
13,asp.net,330636,Stack Overflow,11.285098,-12.815408
15,objective-c,282996,Stack Overflow,2.3583436,-0.93946284
16,c,272960,Stack Overflow,2.882693,-8.736118
17,.net,265332,Stack Overflow,11.35419,-14.082439
18,arrays,257554,Stack Overflow,0.87427384,-16.273325
20,json,228393,Stack Overflow,5.942623,-6.644985
21,r,227632,Stack Overflow,-5.377423,-18.466858
23,iphone,218782,Stack Overflow,14.68326,-18.679134
24,node.js,216425,Stack Overflow,-0.5383411,1.0281965
25,ruby,192892,Stack Overflow,1.7731575,-7.062653
26,swift,184628,Stack Overflow,-13.069502,16.199972
27,regex,184507,Stack Overflow,-2.2865255,-1.3496628
28,ajax,184181,Stack Overflow,12.093761,-12.610231
29,xml,170246,Stack Overflow,14.53972,-14.913015
31,django,165019,Stack Overflow,-0.5045733,-3.1918812
32,linux,161297,Stack Overflow,13.642888,-17.747812
33,database,141042,Stack Overflow,17.433035,-12.198421
34,excel,141009,Stack Overflow,10.201503,-15.577652
35,wpf,138922,Stack Overflow,-6.3631783,3.821771
36,wordpress,129424,Stack Overflow,7.9027114,-8.567069
37,spring,128596,Stack Overflow,11.031475,0.7584303
38,string,124529,Stack Overflow,11.467572,-0.59463894
39,xcode,122461,Stack Overflow,-0.50629973,1.6030853
40,windows,118498,Stack Overflow,7.7611513,-10.562351
41,vb.net,116596,Stack Overflow,3.1870482,-1.9935205
42,eclipse,111693,Stack Overflow,2.7557898,-5.737777
43,html5,111334,Stack Overflow,11.9940815,-11.867883
44,multithreading,106158,Stack Overflow,8.217997,-3.8085124
45,angular,100527,Stack Overflow,12.502118,1.098573
46,bash,96709,Stack Overflow,1.6616244,-3.5621967
47,git,96537,Stack Overflow,9.767487,-5.5910816
48,mongodb,95823,Stack Overflow,6.5866885,-5.9143453
49,vba,95624,Stack Overflow,10.635597,-14.9034395
50,oracle,94711,Stack Overflow,10.473116,-11.239127
53,forms,87790,Stack Overflow,6.9709077,-12.785571
54,image,86564,Stack Overflow,1.0603567,-17.576735
55,macos,84079,Stack Overflow,-0.9128721,-1.7654871
56,algorithm,83030,Stack Overflow,15.860329,-6.5644245
58,facebook,81831,Stack Overflow,17.904524,-18.045725
59,postgresql,81640,Stack Overflow,9.596984,-10.425803
61,winforms,78825,Stack Overflow,1.7580115,-0.39074793
62,apache,78819,Stack Overflow,13.722246,-11.016395
63,matlab,77620,Stack Overflow,11.223588,-16.775198
65,scala,76630,Stack Overflow,4.9658446,-4.5551114
66,performance,75567,Stack Overflow,13.535556,16.291958
68,excel-vba,74273,Stack Overflow,-1.377037,2.396927
69,list,73745,Stack Overflow,9.732801,-7.7740197
71,css3,71831,Stack Overflow,5.2942643,-5.5928273
72,hibernate,69873,Stack Overflow,4.363326,-5.667679
73,swing,69635,Stack Overflow,11.672494,1.4073645
74,linq,68578,Stack Overflow,7.9711046,-6.9548116
75,qt,64321,Stack Overflow,8.842712,2.791236
76,function,64164,Stack Overflow,14.005589,-2.5550938
77,pandas,63644,Stack Overflow,3.7055879,-4.837451
78,shell,62330,Stack Overflow,3.8841264,-6.814393
79,rest,61935,Stack Overflow,10.087018,1.3364077
81,sqlite,60133,Stack Overflow,6.2911587,-6.3690057
82,maven,59621,Stack Overflow,-8.0891,8.296108
83,api,59348,Stack Overflow,13.026278,-12.398851
84,perl,58939,Stack Overflow,9.924589,-13.007864
86,web-services,57875,Stack Overflow,8.951526,-10.014623
87,file,57654,Stack Overflow,16.558483,-12.993186
88,google-maps,56228,Stack Overflow,-1.2271478,1.9416687
91,cordova,55829,Stack Overflow,-2.238652,7.7823453
92,symfony,55777,Stack Overflow,3.696327,-3.2427201
96,loops,53424,Stack Overflow,5.4748344,0.66190827
97,azure,53378,Stack Overflow,2.8355997,-3.723622
98,class,53131,Stack Overflow,4.1319265,3.624789
99,csv,53062,Stack Overflow,10.043388,-8.711384
100,validation,52353,Stack Overflow,-5.5599284,-2.1936982
102,sockets,51618,Stack Overflow,4.5306845,-7.0608397
104,sorting,50425,Stack Overflow,6.847712,0.12716918
107,selenium,49427,Stack Overflow,1.070613,9.159623
109,typescript,48869,Stack Overflow,0.95627266,2.8514445
110,wcf,48317,Stack Overflow,3.1353588,1.1979012
112,email,47305,Stack Overflow,17.888865,-17.98833
113,jsp,47267,Stack Overflow,11.215423,-11.990287
114,http,46851,Stack Overflow,14.363017,-11.559385
121,security,44117,Stack Overflow,-7.2646966,-2.096088
122,oop,43958,Stack Overflow,8.345797,-6.8185754
123,opencv,43184,Stack Overflow,6.356158,-9.198163
124,parsing,42705,Stack Overflow,6.180751,-1.4952164
125,c++11,42413,Stack Overflow,-1.3223974,1.0725192
126,user-interface,42331,Stack Overflow,8.707798,-8.995632
127,datetime,42330,Stack Overflow,-1.910583,3.1065862
129,delphi,41117,Stack Overflow,9.891427,-2.5389822
133,express,40309,Stack Overflow,-2.880975,12.147721
134,ubuntu,39972,Stack Overflow,-5.1990047,-5.21718
135,templates,39165,Stack Overflow,7.5856895,-12.620303
136,pointers,39104,Stack Overflow,5.3133345,-8.457856
138,object,38565,Stack Overflow,0.45983395,-17.294283
139,debugging,38511,Stack Overflow,11.109134,-8.868502
140,dictionary,38346,Stack Overflow,15.419525,-13.933247
141,variables,38244,Stack Overflow,4.63755,9.303586
142,session,38120,Stack Overflow,-1.6019851,-9.278862
144,unix,37845,Stack Overflow,10.1327715,-9.545852
145,ms-access,37577,Stack Overflow,-2.5982053,6.564222
146,cocoa,37349,Stack Overflow,-17.487886,10.991487
147,hadoop,37277,Stack Overflow,10.93406,-11.942183
152,haskell,36332,Stack Overflow,0.112034895,-2.0056896
155,authentication,35684,Stack Overflow,12.324352,-10.120879
156,pdf,35678,Stack Overflow,16.090904,-14.943439
157,tomcat,35615,Stack Overflow,6.489662,-7.811606
159,docker,35417,Stack Overflow,-0.9473779,0.036706522
160,flash,35261,Stack Overflow,6.185348,-11.364897
161,ssl,34433,Stack Overflow,11.995219,-10.498621
162,ipad,34324,Stack Overflow,14.8366585,-18.809614
164,jpa,33577,Stack Overflow,1.2487257,0.6984527
165,generics,33474,Stack Overflow,-6.5926566,5.7137427
166,jsf,33297,Stack Overflow,6.693147,-5.029542
167,url,33225,Stack Overflow,14.9674015,-13.12845
168,animation,33166,Stack Overflow,7.149422,-15.069739
170,firefox,32486,Stack Overflow,7.093569,-9.345072
172,redirect,32184,Stack Overflow,-3.5181508,10.649393
173,curl,31410,Stack Overflow,11.046766,0.8162273
175,unity3d,31113,Stack Overflow,1.886188,-2.1459591
177,asynchronous,30950,Stack Overflow,13.115211,-8.563198
178,inheritance,30859,Stack Overflow,-6.5751433,-5.10077
180,exception,30492,Stack Overflow,0.82430524,-3.4094193
181,testing,30456,Stack Overflow,16.914381,0.9590094
182,events,30167,Stack Overflow,5.5605626,9.133602
183,opengl,30165,Stack Overflow,10.789857,-13.179526
184,xslt,29978,Stack Overflow,9.18021,-11.989186
185,nginx,29962,Stack Overflow,0.4206438,-0.96791255
186,caching,29941,Stack Overflow,6.358121,-3.4075053
188,servlets,29673,Stack Overflow,6.8449373,-7.5431294
189,post,29664,Stack Overflow,3.9986303,5.081853
190,math,29532,Stack Overflow,20.994305,-4.1552224
191,dom,29432,Stack Overflow,3.7186532,-8.808952
194,iis,29341,Stack Overflow,8.27143,-5.4593368
195,select,29314,Stack Overflow,-2.9146109,12.154805
197,join,29173,Stack Overflow,-3.081464,11.9054985
198,button,29122,Stack Overflow,11.760591,-0.95825833
200,recursion,29002,Stack Overflow,14.012987,-3.0969274
201,search,28800,Stack Overflow,6.689327,-2.3609564
202,gcc,28687,Stack Overflow,-8.57237,6.746474
203,go,28231,Stack Overflow,-3.8909314,11.65929
206,jenkins,27847,Stack Overflow,0.23406918,-5.1779504
