,tag,count,class,tsne_0,tsne_1,tsne_2
0,javascript,1576162,Stack Overflow,79.38624,-130.27422,9.225571
1,java,1385434,Stack Overflow,68.57414,78.41057,92.27633
3,php,1176862,Stack Overflow,41.17489,112.87784,4.878161
4,android,1081820,Stack Overflow,34.977,132.27824,-26.43979
5,python,914108,Stack Overflow,-22.606512,111.90289,72.31189
6,jquery,900801,Stack Overflow,6.559985,-104.52797,47.03549
7,html,733157,Stack Overflow,-26.025534,36.587147,-153.99995
8,c++,559744,Stack Overflow,-42.987324,-107.991646,-65.47461
9,ios,554179,Stack Overflow,18.171791,81.33273,-113.02834
10,css,524698,Stack Overflow,-77.27453,47.793663,30.018019
11,mysql,509252,Stack Overflow,16.178818,107.87426,25.143381
12,sql,430279,Stack Overflow,40.605785,120.268814,37.95579
13,asp.net,330636,Stack Overflow,47.977493,46.510433,100.17831
15,objective-c,282996,Stack Overflow,30.378433,-80.31959,32.139275
16,c,272960,Stack Overflow,-17.815,-53.693886,76.597626
17,.net,265332,Stack Overflow,9.144208,111.33939,-11.050606
18,arrays,257554,Stack Overflow,10.477626,86.324356,126.36552
20,json,228393,Stack Overflow,-43.599583,93.42348,11.999964
21,r,227632,Stack Overflow,-81.94723,-74.82652,50.799313
23,iphone,218782,Stack Overflow,104.38627,102.59673,58.041332
24,node.js,216425,Stack Overflow,2.40892,-78.64013,21.280096
25,ruby,192892,Stack Overflow,-28.329046,61.2742,61.10665
26,swift,184628,Stack Overflow,76.286446,26.095722,-72.302376
27,regex,184507,Stack Overflow,-23.268837,-6.3545904,17.524935
28,ajax,184181,Stack Overflow,35.395977,93.21309,-9.431966
29,xml,170246,Stack Overflow,-30.914928,147.93443,71.82301
31,django,165019,Stack Overflow,-19.76407,55.29392,247.39413
32,linux,161297,Stack Overflow,17.029314,140.23897,-17.249746
33,database,141042,Stack Overflow,74.81204,-43.531525,50.067215
34,excel,141009,Stack Overflow,-6.1823335,-89.26199,-66.23911
35,wpf,138922,Stack Overflow,51.00901,-64.606,-10.342839
36,wordpress,129424,Stack Overflow,4.1312776,-13.110693,280.42065
37,spring,128596,Stack Overflow,-78.207794,70.75139,134.34683
38,string,124529,Stack Overflow,-158.45573,-24.358208,4.3868146
39,xcode,122461,Stack Overflow,47.74035,-48.14272,-111.30639
40,windows,118498,Stack Overflow,-61.302208,122.29822,53.250107
41,vb.net,116596,Stack Overflow,36.096745,-26.178127,33.48999
42,eclipse,111693,Stack Overflow,-97.492775,129.65582,-41.50048
43,html5,111334,Stack Overflow,-22.845623,105.062,-16.92454
44,multithreading,106158,Stack Overflow,-71.23168,77.70124,5.293536
45,angular,100527,Stack Overflow,-66.14042,96.65543,-61.595493
46,bash,96709,Stack Overflow,43.769,-118.57824,-6.5198793
47,git,96537,Stack Overflow,56.233997,-138.84555,-45.350796
48,mongodb,95823,Stack Overflow,-50.654404,74.35828,28.318716
