,tag,count,class,tsne_0,tsne_1
0,cognitive-psychology,925,Psychology & Neuroscience,-3.274014,0.8078773
1,social-psychology,581,Psychology & Neuroscience,-2.686577,3.7879071
2,neuroscience,534,Psychology & Neuroscience,6.3476334,-11.356645
3,cognitive-neuroscience,350,Psychology & Neuroscience,-1.5047846,0.9762487
4,perception,347,Psychology & Neuroscience,-14.149606,9.128277
5,emotion,306,Psychology & Neuroscience,-11.14156,0.8573933
6,learning,292,Psychology & Neuroscience,-15.468412,1.4997579
7,memory,278,Psychology & Neuroscience,-12.3585615,-6.0780087
8,measurement,275,Psychology & Neuroscience,15.59467,-0.42425102
10,personality,262,Psychology & Neuroscience,-2.7320497,-5.255473
12,terminology,218,Psychology & Neuroscience,5.3679643,5.002685
13,methodology,217,Psychology & Neuroscience,1.0770701,-18.00043
16,vision,199,Psychology & Neuroscience,-4.5916996,5.579396
17,intelligence,180,Psychology & Neuroscience,-1.9365305,9.0751
19,motivation,160,Psychology & Neuroscience,-12.590908,2.726649
22,eeg,119,Psychology & Neuroscience,7.436928,-7.015976
23,decision-making,116,Psychology & Neuroscience,-7.341869,0.97133315
24,sleep,113,Psychology & Neuroscience,-3.2647676,-11.523129
25,consciousness,113,Psychology & Neuroscience,-6.8023677,4.6363034
26,clinical-psychology,112,Psychology & Neuroscience,-0.5097072,2.867893
27,bias,111,Psychology & Neuroscience,-7.1673207,-1.6597502
28,neural-network,110,Psychology & Neuroscience,8.719096,1.4346479
29,language,107,Psychology & Neuroscience,-16.184198,-2.345584
30,statistics,104,Psychology & Neuroscience,0.2827072,-5.7743225
31,test,101,Psychology & Neuroscience,12.634534,1.3490295
32,dreams,96,Psychology & Neuroscience,-7.283352,3.4527183
33,performance,94,Psychology & Neuroscience,3.6078882,7.022479
34,neurophysiology,92,Psychology & Neuroscience,5.066445,-9.357714
35,psychiatry,86,Psychology & Neuroscience,4.1110387,-13.712778
36,neuroimaging,81,Psychology & Neuroscience,6.737294,-9.699917
38,psychology,78,Psychology & Neuroscience,-1.6548693,14.047121
41,attention,75,Psychology & Neuroscience,-15.892993,6.0823693
42,sexuality,74,Psychology & Neuroscience,-5.18432,8.01639
43,depression,72,Psychology & Neuroscience,10.946487,-11.40064
44,behaviorism,67,Psychology & Neuroscience,-3.9443448,12.698209
45,neuroanatomy,67,Psychology & Neuroscience,5.190265,-9.145262
46,sensation,65,Psychology & Neuroscience,3.702448,12.424576
47,behavior,63,Psychology & Neuroscience,-8.658212,11.029149
48,evolution,63,Psychology & Neuroscience,6.527537,1.9459862
49,fmri,57,Psychology & Neuroscience,8.0767355,-7.8412833
50,physiology,57,Psychology & Neuroscience,4.247445,-9.90449
51,motor,55,Psychology & Neuroscience,12.541231,5.1199694
52,working-memory,53,Psychology & Neuroscience,-11.616023,-6.3689384
53,communication,53,Psychology & Neuroscience,10.289671,-3.9566221
54,well-being,51,Psychology & Neuroscience,-10.9991455,3.2021475
55,reading,50,Psychology & Neuroscience,-16.360113,-1.4441772
56,iq,50,Psychology & Neuroscience,-1.7463423,9.5588665
57,animal-cognition,47,Psychology & Neuroscience,-1.207543,2.3017197
58,linguistics,47,Psychology & Neuroscience,7.620124,-12.1552515
59,stress,47,Psychology & Neuroscience,-5.5164037,-9.479595
60,brain-training,46,Psychology & Neuroscience,0.46248007,4.3440704
61,software,46,Psychology & Neuroscience,11.344193,-1.0039696
62,problem-solving,46,Psychology & Neuroscience,-15.019934,0.5534953
63,long-term-memory,46,Psychology & Neuroscience,3.2891483,-0.89537567
64,psychopharmacology,45,Psychology & Neuroscience,4.3478875,-13.012218
66,psychophysics,42,Psychology & Neuroscience,3.8558774,-8.173028
67,music,42,Psychology & Neuroscience,-10.346215,-1.3409787
68,artificial-intelligence,40,Psychology & Neuroscience,-3.1783662,2.4216042
69,hearing,39,Psychology & Neuroscience,-15.064043,-4.1379776
70,brain,39,Psychology & Neuroscience,13.798891,8.988408
71,conditioning,38,Psychology & Neuroscience,5.190781,10.139581
72,neurology,38,Psychology & Neuroscience,4.309921,-13.177259
73,creativity,38,Psychology & Neuroscience,-13.738116,2.6512573
75,data,36,Psychology & Neuroscience,0.078652166,-6.1786146
76,addiction,36,Psychology & Neuroscience,-4.6599135,-2.6999638
79,survey,35,Psychology & Neuroscience,-0.48439366,-14.305181
80,adhd,35,Psychology & Neuroscience,13.249891,-11.164011
81,internet,35,Psychology & Neuroscience,8.820377,4.9817867
82,color,35,Psychology & Neuroscience,4.268114,3.4320333
83,human-factors,34,Psychology & Neuroscience,-0.82456,4.985994
84,anxiety,33,Psychology & Neuroscience,-2.717829,-10.117122
85,electrophysiology,33,Psychology & Neuroscience,5.498649,-8.882181
86,reaction-time,33,Psychology & Neuroscience,11.6747055,1.3952018
87,unconscious,33,Psychology & Neuroscience,-8.003947,2.8319066
88,eye-movement,32,Psychology & Neuroscience,-7.271848,-3.696171
89,autism,30,Psychology & Neuroscience,13.500341,-11.217514
90,consumer-psychology,30,Psychology & Neuroscience,0.2388957,2.9872444
91,sex-differences,29,Psychology & Neuroscience,-1.514388,-2.5903728
92,signal-detection,29,Psychology & Neuroscience,10.363101,1.5864543
93,schizophrenia,29,Psychology & Neuroscience,12.224537,-10.276758
94,reinforcement-learning,29,Psychology & Neuroscience,7.279737,1.3759956
96,meditation,29,Psychology & Neuroscience,-8.029167,-12.167705
98,audition,28,Psychology & Neuroscience,7.0555563,8.431589
99,fear,28,Psychology & Neuroscience,3.7063074,9.245295
100,genetics,28,Psychology & Neuroscience,4.8815203,-10.289346
101,time,28,Psychology & Neuroscience,0.13132489,-2.5783422
102,pain,27,Psychology & Neuroscience,-5.680082,-10.061212
103,economics,26,Psychology & Neuroscience,-2.5912647,15.454618
104,language-processing,26,Psychology & Neuroscience,4.8463445,-0.39705154
105,plasticity,26,Psychology & Neuroscience,11.790011,9.321744
106,visualization,25,Psychology & Neuroscience,8.33273,2.9721563
107,gender,25,Psychology & Neuroscience,-5.543667,1.3914831
108,health-psychology,25,Psychology & Neuroscience,-0.29266253,1.333685
110,positive-psychology,25,Psychology & Neuroscience,-0.6094165,4.0186234
111,rationality,24,Psychology & Neuroscience,-7.110198,6.514675
112,psychoanalysis,24,Psychology & Neuroscience,-3.8618162,12.974609
113,hypnosis,23,Psychology & Neuroscience,-7.7663865,-12.173111
114,speech,23,Psychology & Neuroscience,-15.060379,-3.8759506
116,mood,23,Psychology & Neuroscience,-3.2082856,-10.769116
117,gamification,23,Psychology & Neuroscience,8.294522,4.366182
118,short-term-memory,23,Psychology & Neuroscience,2.8360143,-0.5265688
119,metacognition,22,Psychology & Neuroscience,-13.25219,1.7638155
120,social-networks,22,Psychology & Neuroscience,0.802862,3.2172818
121,behavioral-economics,22,Psychology & Neuroscience,-2.455745,1.70016
122,nef,22,Psychology & Neuroscience,0.7427955,-4.055254
123,perceptual-learning,21,Psychology & Neuroscience,3.5625021,1.9102697
124,personality-disorder,21,Psychology & Neuroscience,1.8512915,3.66368
126,aesthetics,20,Psychology & Neuroscience,-5.833873,4.743627
127,hci,20,Psychology & Neuroscience,7.707987,4.5084105
128,hallucinations,20,Psychology & Neuroscience,-8.364956,-8.377213
129,signal-processing,20,Psychology & Neuroscience,7.058773,-0.6399689
130,brain-computer-interface,19,Psychology & Neuroscience,1.2799236,2.0853524
131,lateralization,19,Psychology & Neuroscience,10.375226,8.102925
132,parenting,19,Psychology & Neuroscience,4.486571,-4.802514
133,sensory-perception,18,Psychology & Neuroscience,1.4063728,0.5193466
134,aspergers,18,Psychology & Neuroscience,1.9101769,-2.800592
135,self,18,Psychology & Neuroscience,-9.586656,3.0803325
136,game-theory,17,Psychology & Neuroscience,8.297378,1.6786987
137,thought,17,Psychology & Neuroscience,-7.963995,4.909979
138,aging,17,Psychology & Neuroscience,2.7086723,-3.5666327
139,concentration,17,Psychology & Neuroscience,-1.0545495,-3.3825703
140,sociology,17,Psychology & Neuroscience,-2.3456562,14.931968
141,empathy,17,Psychology & Neuroscience,-10.719727,2.580686
142,love,17,Psychology & Neuroscience,-9.358728,3.413235
143,brain-injury,17,Psychology & Neuroscience,1.3068007,5.3342514
144,moral-psychology,17,Psychology & Neuroscience,-0.82226145,1.6940454
145,training,16,Psychology & Neuroscience,-16.123932,3.6623628
146,jung,16,Psychology & Neuroscience,-5.5191865,13.450277
147,feeding,16,Psychology & Neuroscience,4.4653497,-4.132908
148,nature-nurture,16,Psychology & Neuroscience,-3.870397,1.1053091
151,self-control,16,Psychology & Neuroscience,-6.0545607,-5.009105
152,correlation,16,Psychology & Neuroscience,2.1917825,-5.7020025
154,political-psychology,15,Psychology & Neuroscience,-0.6456798,1.1590044
155,video-games,15,Psychology & Neuroscience,-1.7535166,-1.0743182
156,dopamine,15,Psychology & Neuroscience,12.245871,12.122351
158,cognitive-development,15,Psychology & Neuroscience,-0.5020162,2.1806777
159,attitudes,15,Psychology & Neuroscience,-11.992631,9.641883
160,recognition,14,Psychology & Neuroscience,-15.280181,8.311896
163,therapy,14,Psychology & Neuroscience,-10.304379,-12.951726
164,religion,14,Psychology & Neuroscience,-5.2009096,7.933909
166,phobia,13,Psychology & Neuroscience,-2.2546847,-9.825186
167,self-discipline,13,Psychology & Neuroscience,-9.196114,6.3755364
168,bayesian,13,Psychology & Neuroscience,9.777479,2.0741127
169,reward,13,Psychology & Neuroscience,2.6711915,10.456032
170,connectionism,13,Psychology & Neuroscience,-3.4819026,4.1310167
171,ptsd,13,Psychology & Neuroscience,11.068563,-11.458179
172,habituation,13,Psychology & Neuroscience,5.0460157,10.018112
173,exercise,13,Psychology & Neuroscience,1.9784415,9.195732
174,writing,13,Psychology & Neuroscience,-16.335054,-1.3229921
176,validation,12,Psychology & Neuroscience,15.552919,-0.42301288
177,analysis,12,Psychology & Neuroscience,0.21100037,-14.672981
178,humour,12,Psychology & Neuroscience,-9.827886,-0.89219815
179,deception,12,Psychology & Neuroscience,-8.723833,-0.7131112
180,cognition,12,Psychology & Neuroscience,-12.674449,0.041570645
181,arousal,11,Psychology & Neuroscience,-6.125285,-7.339003
182,expertise,11,Psychology & Neuroscience,-15.07554,4.1655583
184,task-analysis,11,Psychology & Neuroscience,-1.421429,3.7464902
185,spa,11,Psychology & Neuroscience,0.06414805,5.6585665
186,spm,11,Psychology & Neuroscience,0.9715565,-4.90986
187,social-cognition,11,Psychology & Neuroscience,-4.196451,-0.69761914
188,introversion,11,Psychology & Neuroscience,-3.928889,-6.188288
190,neuropsychology,11,Psychology & Neuroscience,5.1545196,-12.546525
191,drugs,11,Psychology & Neuroscience,-6.4156303,-14.703001
192,psychosis,11,Psychology & Neuroscience,11.869091,-10.467349
193,synesthesia,11,Psychology & Neuroscience,-8.605038,-5.7228074
194,serotonin,10,Psychology & Neuroscience,12.276135,12.168039
195,ideation,10,Psychology & Neuroscience,-8.79014,11.905696
196,categorisation,10,Psychology & Neuroscience,5.4235597,3.4773486
197,intuition,10,Psychology & Neuroscience,-7.098165,6.1015697
198,positive-thinking,10,Psychology & Neuroscience,1.0499114,1.6200169
199,semantic-memory,10,Psychology & Neuroscience,2.4179256,-1.7536976
200,aggression,10,Psychology & Neuroscience,-7.3928614,10.404418
201,social-desirability,10,Psychology & Neuroscience,2.4690607,2.3699498
202,cognitive-dissonance,10,Psychology & Neuroscience,1.4974262,-0.3123232
203,alcohol,10,Psychology & Neuroscience,1.4299052,12.273533
204,neuro-transmitters,9,Psychology & Neuroscience,-0.9768045,0.51566595
205,confidence,9,Psychology & Neuroscience,-14.976317,4.729293
206,procedural-memory,9,Psychology & Neuroscience,0.73708487,1.0757626
207,preferences,9,Psychology & Neuroscience,-11.51228,9.901189
208,anthropology,9,Psychology & Neuroscience,-2.551806,14.498271
209,priming,9,Psychology & Neuroscience,7.1381564,12.389773
210,social-neuroscience,9,Psychology & Neuroscience,-1.5273134,1.5051411
211,big-five,9,Psychology & Neuroscience,-2.799716,-4.2710795
213,executive-function,9,Psychology & Neuroscience,4.153774,-2.0676665
216,mbti,8,Psychology & Neuroscience,-1.1167455,7.746246
217,neurogenesis,8,Psychology & Neuroscience,12.168687,9.53413
218,synchronization,8,Psychology & Neuroscience,8.880483,-3.3640766
219,leadership,8,Psychology & Neuroscience,-13.449177,4.0854893
220,attribution,8,Psychology & Neuroscience,-8.671876,0.40173706
222,episodic-memory,8,Psychology & Neuroscience,3.3494785,-2.218436
223,norms,8,Psychology & Neuroscience,-11.104326,7.7403774
224,stimulation,8,Psychology & Neuroscience,5.1684265,15.803985
225,procrastination,8,Psychology & Neuroscience,-12.522329,2.108471
226,placebo,8,Psychology & Neuroscience,-7.32863,-14.024755
227,dynamic-systems,8,Psychology & Neuroscience,-1.9822667,2.6549902
228,automaticity,8,Psychology & Neuroscience,-8.346074,-3.8117518
229,sampling,8,Psychology & Neuroscience,7.471682,-1.1372645
230,untagged,8,Psychology & Neuroscience,-0.07064713,-2.0894399
231,cross-modal,7,Psychology & Neuroscience,-8.608816,-4.998368
232,reliability,7,Psychology & Neuroscience,15.713774,-0.4342886
234,cognitive,7,Psychology & Neuroscience,-12.775464,-0.75542337
235,persuasion,7,Psychology & Neuroscience,-9.017496,-0.5890518
236,extroversion,7,Psychology & Neuroscience,-3.90434,-6.267792
