,tag,count,class,tsne_0,tsne_1
0,javascript,1576162,Stack Overflow,4.2421393,11.123521
1,java,1385434,Stack Overflow,5.750206,11.867204
3,php,1176862,Stack Overflow,4.7111115,10.446323
4,android,1081820,Stack Overflow,6.774933,14.400501
5,python,914108,Stack Overflow,5.8238373,11.668701
6,jquery,900801,Stack Overflow,-0.109996535,1.8163663
7,html,733157,Stack Overflow,1.9028635,11.970216
8,c++,559744,Stack Overflow,6.4388704,11.755684
9,ios,554179,Stack Overflow,-4.667204,5.453545
10,css,524698,Stack Overflow,-4.85693,3.6636903
11,mysql,509252,Stack Overflow,2.9812257,10.102482
12,sql,430279,Stack Overflow,3.7043574,11.215017
13,asp.net,330636,Stack Overflow,4.636803,8.892619
15,objective-c,282996,Stack Overflow,-1.5809782,-3.0875156
16,c,272960,Stack Overflow,8.062766,-4.3770094
17,.net,265332,Stack Overflow,5.636244,10.222846
18,arrays,257554,Stack Overflow,-4.3481183,8.716445
20,json,228393,Stack Overflow,0.41797447,-0.1838182
21,r,227632,Stack Overflow,-9.137035,4.5939126
23,iphone,218782,Stack Overflow,7.0593343,14.918001
24,node.js,216425,Stack Overflow,-1.5366348,-5.3822865
25,ruby,192892,Stack Overflow,-5.4953523,-3.5703142
26,swift,184628,Stack Overflow,-3.4420173,-0.97811955
27,regex,184507,Stack Overflow,1.3486269,-8.385433
28,ajax,184181,Stack Overflow,4.825261,9.758132
29,xml,170246,Stack Overflow,2.4775107,12.058217
31,django,165019,Stack Overflow,-6.5110297,-4.5100455
32,linux,161297,Stack Overflow,6.547734,13.971796
33,database,141042,Stack Overflow,2.1214085,10.628228
34,excel,141009,Stack Overflow,6.581118,10.292676
35,wpf,138922,Stack Overflow,-0.22494635,-4.311256
36,wordpress,129424,Stack Overflow,1.1914445,4.213314
37,spring,128596,Stack Overflow,-8.674816,-3.5705838
38,string,124529,Stack Overflow,4.2646136,3.2696345
39,xcode,122461,Stack Overflow,-1.1313876,-5.784128
40,windows,118498,Stack Overflow,-1.457536,4.4183187
41,vb.net,116596,Stack Overflow,-1.4273348,-2.2801943
42,eclipse,111693,Stack Overflow,-7.66895,-3.6719267
43,html5,111334,Stack Overflow,4.497526,8.998177
44,multithreading,106158,Stack Overflow,5.678582,2.5221336
45,angular,100527,Stack Overflow,-10.359882,-1.6129695
46,bash,96709,Stack Overflow,-7.466388,-5.7482214
47,git,96537,Stack Overflow,3.8947427,-3.4824224
48,mongodb,95823,Stack Overflow,0.36528367,0.4198636
49,vba,95624,Stack Overflow,6.4664564,11.014666
50,oracle,94711,Stack Overflow,6.317573,8.897058
53,forms,87790,Stack Overflow,-9.363074,-11.782236
54,image,86564,Stack Overflow,3.832758,4.484242
55,macos,84079,Stack Overflow,-5.0809793,-9.00455
56,algorithm,83030,Stack Overflow,10.021652,10.7154255
58,facebook,81831,Stack Overflow,-3.1918352,12.882679
59,postgresql,81640,Stack Overflow,2.1588979,6.8214226
61,winforms,78825,Stack Overflow,-1.3816829,-4.552969
62,apache,78819,Stack Overflow,2.4332244,8.865652
63,matlab,77620,Stack Overflow,6.70043,11.715789
65,scala,76630,Stack Overflow,-4.0898376,-1.4528558
66,performance,75567,Stack Overflow,4.6222467,-1.4748107
68,excel-vba,74273,Stack Overflow,-1.5871282,-6.427343
69,list,73745,Stack Overflow,-5.261276,1.584746
71,css3,71831,Stack Overflow,-0.056161866,1.2095703
72,hibernate,69873,Stack Overflow,1.9225613,3.2219872
73,swing,69635,Stack Overflow,-9.828444,-1.0505115
74,linq,68578,Stack Overflow,1.2585187,3.0625124
75,qt,64321,Stack Overflow,3.050732,-5.6089115
76,function,64164,Stack Overflow,-11.249219,2.4061265
