,tag,count,class,tsne_0,tsne_1,tsne_2
0,javascript,1576162,Stack Overflow,-125.678345,75.31151,-16.14199
1,java,1385434,Stack Overflow,51.031403,95.46771,-107.05446
3,php,1176862,Stack Overflow,-32.898186,-157.27705,45.605335
4,android,1081820,Stack Overflow,-153.54942,14.93127,31.380516
5,python,914108,Stack Overflow,30.970984,72.18034,-113.14369
6,jquery,900801,Stack Overflow,-57.000053,-106.771866,12.125636
7,html,733157,Stack Overflow,35.426723,-164.87814,10.943281
8,c++,559744,Stack Overflow,-31.597458,-71.90191,134.63702
9,ios,554179,Stack Overflow,54.476513,119.48295,71.5919
10,css,524698,Stack Overflow,-80.5584,-15.903691,-145.28195
11,mysql,509252,Stack Overflow,-123.58211,85.3729,-48.05694
12,sql,430279,Stack Overflow,76.0845,124.722664,-49.901535
13,asp.net,330636,Stack Overflow,-65.65986,21.37186,226.73837
15,objective-c,282996,Stack Overflow,-71.75541,6.808216,118.80565
16,c,272960,Stack Overflow,-23.170269,-63.141907,-17.40402
17,.net,265332,Stack Overflow,71.528534,64.50079,-102.288994
18,arrays,257554,Stack Overflow,-43.4412,70.41982,-58.176006
20,json,228393,Stack Overflow,43.612095,-102.53094,65.051315
21,r,227632,Stack Overflow,84.615234,-95.56509,116.28809
23,iphone,218782,Stack Overflow,129.4107,35.825565,-16.53539
24,node.js,216425,Stack Overflow,10.01308,-77.69916,6.2899723
25,ruby,192892,Stack Overflow,3.1010618,99.170555,127.02298
26,swift,184628,Stack Overflow,129.39302,-72.60489,-88.31546
27,regex,184507,Stack Overflow,-157.19656,-30.990534,51.83891
28,ajax,184181,Stack Overflow,-125.6713,76.440605,56.18909
29,xml,170246,Stack Overflow,55.387135,151.47285,-44.183746
31,django,165019,Stack Overflow,23.497196,61.901608,98.04448
32,linux,161297,Stack Overflow,15.179239,112.04473,-132.1492
33,database,141042,Stack Overflow,2.7394702,110.52159,-80.20869
34,excel,141009,Stack Overflow,141.79404,41.849987,-87.79406
35,wpf,138922,Stack Overflow,57.64079,-51.92788,73.65802
36,wordpress,129424,Stack Overflow,0.14409627,11.294965,154.27705
37,spring,128596,Stack Overflow,-94.8709,56.737103,92.529
38,string,124529,Stack Overflow,63.510803,72.475685,79.972626
39,xcode,122461,Stack Overflow,-35.115757,-56.949078,21.23529
40,windows,118498,Stack Overflow,115.42631,-101.09476,38.242126
